name	country	gender	birthdate	competition_years	first	last
Shengnan LI	CHN	W	27 May 1996	1996	2017,2012	2012	2017
Ao FENG	CHN	W	1 Aug 1994	1994	2012	2012	2012
Aini TANG	CHN	W	17 Aug 1997	1997	2012	2012	2012
Liselotte VAN DER TOGT	NED	W	29 Jun 1994	1994	2013,2012	2012	2013
Johan UITTENBOOGAARD	NED	M	6 Nov 1986	1986	2012	2012	2012
Leonard VAN LIEROP	NED	M	20 May 1994	1994	2016,2015,2014,2014,2012	2012	2016
Joel CABETE	POR	M	9 Apr 1994	1994	2012	2012	2012
Thomas MENDES	POR	M	28 Aug 1995	1995	2012	2012	2012
Tiago COSTA	POR	M	12 May 1995	1995	2014,2012	2012	2014
Duarte MATIAS ALVES PINHEIRO	POR	M	26 Apr 1995	1995	2014,2012	2012	2014
Andrius LAPATIUKAS	LTU	M	1 May 1996	1996	2016,2014,2014,2013,2012	2012	2016
Sonata PETRIKAITE	LTU	W	2 May 1996	1996	2015,2015,2015,2014,2014,2013,2012	2012	2015
Jakub DOMINICZAK	POL	M	23 Jan 1995	1995	2018,2017,2016,2015,2013,2012	2012	2018
Mateusz BISKUP	POL	M	8 Feb 1994	1994	2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2014,2014,2014,2014,2012	2012	2018
Michal ZAPOROWSKI	POL	M	5 Apr 1995	1995	2013,2012	2012	2013
Til-Malte WODRICH	GER	M	27 Nov 1995	1995	2012	2012	2012
Meike DUETSCH	GER	W	25 Jun 1995	1995	2015,2014,2012	2012	2015
Gesa LINDENAU	GER	W	20 Dec 1995	1995	2013,2012	2012	2013
Carlotta NWAJIDE	GER	W	12 Jul 1995	1995	2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2015,2014,2013,2012	2012	2018
Frederic AURIN	GER	M	17 May 1994	1994	2012	2012	2012
Matthias HOERNSCHEMEYER	GER	M	25 Aug 1994	1994	2016,2014,2013,2012	2012	2016
Thomas MATZAT	GER	M	21 Jun 1994	1994	2012	2012	2012
Leonard SCHMITZ	GER	M	27 Dec 1994	1994	2012	2012	2012
Henrik BOSSE	GER	M	10 Sep 1995	1995	2012	2012	2012
Nicolas SCHLUETER	GER	M	15 Dec 1995	1995	2014,2013,2012	2012	2014
Georg TEICHMANN	GER	M	24 Dec 1995	1995	2013,2012	2012	2013
Tom CHRISTOFZIK	GER	M	5 Feb 1994	1994	2014	2014	2014
Frederike HACKENBROCH	GER	W	16 Jan 1995	1995	2012	2012	2012
Frauke HACKER	GER	W	23 Jun 1995	1995	2018,2018,2018,2018,2017,2016,2015,2014,2013,2012	2012	2018
Jule DIRKS	GER	W	2 Aug 1994	1994	2013,2012	2012	2013
Nele BURGDORF	GER	W	14 Jan 1995	1995	2012	2012	2012
Theresa SASS	GER	M	6 Oct 1994	1994	None	None	None
Selina FORSTER	GER	W	28 Feb 1997	1997	2012	2012	2012
Harun ZEREN	TUR	M	23 May 1994	1994	2012	2012	2012
Yasin GOLER	TUR	M	1 Jan 1996	1996	2015,2014,2013	2013	2015
Burak ACAR	TUR	M	5 Aug 1994	1994	2012	2012	2012
Caner CELIK	TUR	M	6 Jan 1994	1994	2012	2012	2012
Mertcan AKSU	TUR	M	13 Oct 1994	1994	2012	2012	2012
Nadir SAHIN	TUR	M	21 Oct 1992	1992	2017,2015,2015,2012	2012	2017
Onur KAYACAN	TUR	M	14 Sep 1994	1994	2012	2012	2012
Deniz KARADAYI	TUR	M	30 Apr 1994	1994	2012	2012	2012
Suha OR	TUR	M	8 Jan 1995	1995	2012	2012	2012
Cemal Yigit UZULNAR	TUR	M	17 Apr 1993	1993	2012	2012	2012
Koray KOCAK	TUR	M	10 Nov 1994	1994	2012	2012	2012
Mert Kaan KARTAL	TUR	M	15 Mar 1995	1995	2018,2018,2017,2017,2016,2016,2016,2015,2015,2014,2014,2013,2012	2012	2018
Dogsah BOLUK	TUR	M	31 May 1995	1995	2015,2014,2014,2013,2012	2012	2015
Emre HAYMANA	TUR	M	5 May 1995	1995	2015,2013,2012	2012	2015
Atakan OLMEZ	TUR	M	17 Jun 1995	1995	2012	2012	2012
Hyunsu PARK	KOR	M	29 Dec 1995	1995	2018,2017,2016,2013,2012	2012	2018
Youngcheol AN	KOR	M	18 Jan 1994	1994	2013,2012	2012	2013
Jehyeon SON	KOR	M	29 Jul 1994	1994	2012	2012	2012
Thomas BARRAS	GBR	M	7 Jan 1994	1994	2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2016,2015,2014,2012	2012	2018
Matthew BENSTEAD	GBR	M	6 May 1995	1995	2017,2016,2013,2012	2012	2017
Sebastian DEVEREUX	GBR	M	15 Feb 1995	1995	2017,2014,2013,2012	2012	2017
Anna FAIRS	GBR	W	14 Jan 1995	1995	2013,2012	2012	2013
Emily FORD	GBR	W	8 Nov 1994	1994	2018,2018,2016,2015,2012	2012	2018
Thomas GEORGE	GBR	M	22 Sep 1994	1994	2018,2018,2018,2017,2017,2016,2015,2014,2012	2012	2018
Edward HENSHAW	GBR	M	11 Jun 1995	1995	2012	2012	2012
Lauren KEDAR	GBR	W	13 Aug 1995	1995	2016,2013,2012	2012	2016
Elisha LEWIS	GBR	W	14 Apr 1994	1994	2018,2018,2018,2016,2015,2014,2013,2012	2012	2018
Harry LONERGAN	GBR	M	18 May 1995	1995	2013,2012	2012	2013
Thomas MARSHALL	GBR	M	12 Mar 1994	1994	2015,2013,2012	2012	2015
Lewis MCCUE	GBR	M	26 Dec 1994	1994	2016,2015,2014,2013,2012	2012	2016
Ryan MITCHELL	GBR	M	7 Mar 1994	1994	2012	2012	2012
Titus MORLEY	GBR	M	1 Apr 1995	1995	2013,2012	2012	2013
Cecelia MOWCZAN	GBR	W	1 Nov 1994	1994	2012	2012	2012
Annabel ROGERS	GBR	W	28 Dec 1994	1994	2012	2012	2012
James RUDKIN	GBR	M	7 Jul 1994	1994	2018,2018,2018,2018,2017,2017,2017,2017,2017,2016,2015,2014,2012	2012	2018
Elliot TARRANT	GBR	M	30 Nov 1994	1994	2012	2012	2012
Joanna UNSWORTH	GBR	W	13 Oct 1994	1994	2012	2012	2012
Oliver WYNNE-GRIFFITH	GBR	M	29 May 1994	1994	2018,2018,2018,2018,2017,2017,2016,2014,2012	2012	2018
Mackenzie BARTZ	USA	W	18 Mar 1994	1994	2012	2012	2012
Eli BROWN	USA	M	8 Jul 1994	1994	2012	2012	2012
Kathryn BROWN	USA	W	14 Mar 1995	1995	2013,2012	2012	2013
Chase BUCHHOLZ	USA	M	29 Dec 1994	1994	2014,2012	2012	2014
Alexander BUCK	USA	M	3 Jul 1994	1994	2012	2012	2012
Ezra CARLSON	USA	M	28 Apr 1994	1994	2016,2012	2012	2016
Christopher WALES	USA	M	11 Jan 1995	1995	2014,2013,2012	2012	2014
Allen REITZ	USA	M	13 May 1996	1996	2014,2013,2012	2012	2014
Richard WAGNER	USA	M	2 Jan 1994	1994	2012	2012	2012
Amanda RUTHERFORD	USA	W	6 Sep 1995	1995	2013,2012	2012	2013
Sylvie SALLQUIST	USA	W	26 Oct 1995	1995	2013,2012	2012	2013
Nathan SMITH	USA	M	29 Sep 1994	1994	2013,2012	2012	2013
Carolina RATCLIFF	USA	W	3 May 1996	1996	2013,2012	2012	2013
Bradley PLUNKETT	USA	M	28 Aug 1994	1994	2012	2012	2012
Kathleen O'CONNELL	USA	W	4 Mar 1994	1994	None	None	None
Ruth NARODE	USA	W	18 Sep 1994	1994	2013,2012	2012	2013
Joanna MULVEY	USA	W	26 Aug 1994	1994	2012	2012	2012
Graham MINK	USA	M	17 Oct 1994	1994	2012	2012	2012
Jacob MENDELSON	USA	M	11 Aug 1994	1994	2016,2015,2012	2012	2016
Lydia KEATLIG	USA	W	27 Jan 1995	1995	None	None	None
Nathaniel GOODMAN	USA	M	13 Feb 1995	1995	2016,2013,2012	2012	2016
Ryan HAILS	USA	M	14 Dec 1994	1994	2012	2012	2012
Caroline HART	USA	W	2 Aug 1995	1995	2013,2012	2012	2013
Christine CAVALLO	USA	W	5 May 1995	1995	2018,2018,2018,2017,2014,2013,2012	2012	2018
Benton CHUTER	USA	M	28 Oct 1994	1994	2012	2012	2012
John CHUTER	USA	M	28 Oct 1994	1994	2012	2012	2012
Jacob COERT	USA	M	12 Jun 1995	1995	2012	2012	2012
Claire COLLINS	USA	W	29 Nov 1996	1996	2018,2017,2014,2013,2012	2012	2018
Justin MURPHY	USA	M	13 Jul 1995	1995	2016,2015,2014,2013,2012	2012	2016
Adelbert FRANCIS III	USA	M	4 Aug 1994	1994	2016,2012	2012	2016
Peter WOOLLEY	USA	M	27 Jan 1995	1995	2013,2012	2012	2013
Gregory DAVIS	USA	M	7 Jan 1994	1994	2016,2015,2014,2012	2012	2016
Albert CAPUTO III	USA	M	21 Aug 1995	1995	2012	2012	2012
Harrison VAN ANDEL	USA	M	10 Aug 1995	1995	2012	2012	2012
Patrick MUTO	USA	M	24 Jul 1994	1994	2012	2012	2012
Julian GOLDMAN	USA	M	22 Apr 1996	1996	2013,2012	2012	2013
Peter OVERFIELD	USA	M	14 Jun 1995	1995	2012	2012	2012
Nina VASCOTTO	USA	W	27 Feb 1994	1994	2012	2012	2012
Olivia MACLEAN	USA	W	19 Apr 1995	1995	2012	2012	2012
Cicely MADDEN	USA	W	28 Mar 1995	1995	2017,2016,2013,2012	2012	2017
Alexandra ZADRAVEC	USA	W	8 Aug 1994	1994	2012,2010	2010	2012
Elizabeth SHARIS	USA	W	23 May 1997	1997	2017,2015,2014,2013,2012	2012	2017
Alexander RICHARDS	USA	M	12 Aug 1995	1995	2018,2017,2017,2013	2013	2018
Emmett GROSS	USA	M	2 Jan 1994	1994	None	None	None
Michelle SECHSER	USA	W	1 Nov 1986	1986	2018,2017,2016,2015,2015,2014,2014,2013,2012	2012	2018
Nicholas DAWE	USA	M	26 Aug 1987	1987	2017,2012	2012	2017
Martin FORDE	USA	M	30 Jun 1993	1993	2012	2012	2012
Eric RHIEL	USA	M	12 Jun 1990	1990	2012	2012	2012
Sean MC KENNA	USA	M	16 Dec 1989	1989	2012	2012	2012
William ROBINS	USA	M	12 Feb 1992	1992	2013,2012	2012	2013
David SMITH	USA	M	17 Feb 1986	1986	2018,2017,2015,2013,2012	2012	2018
Anders CORBETT	USA	M	14 Jun 1987	1987	2012	2012	2012
Andrew HASHWAY	USA	M	16 Feb 1984	1984	2012	2012	2012
Ferdinand HEINRICH	GER	M	14 Dec 1994	1994	2012	2012	2012
Alexei JANDIC	MDA	M	30 Mar 1996	1996	2018,2016,2014,2013,2012	2012	2018
Maxim PERENDISLI	MDA	M	26 Nov 1996	1996	2018,2017,2016,2014,2013,2012	2012	2018
Kriss KALNINS	LAT	M	11 Mar 1994	1994	2014,2014,2014,2013,2012	2012	2014
Klavs REITMANIS	LAT	M	21 Mar 1994	1994	2012	2012	2012
Janis Igo NIEDZVIEDZIS	LAT	M	23 Apr 1994	1994	2016,2013,2012	2012	2016
Janis BALCUNS	LAT	M	16 Jan 1994	1994	2013,2012	2012	2013
Kasper DE RYCKE	BEL	M	24 Apr 1994	1994	2012	2012	2012
Pierre DE LOOF	BEL	M	1 Aug 1995	1995	2018,2018,2018,2018,2017,2013,2012	2012	2018
Keanu VANDENDRIESSCHE	BEL	M	8 Jul 1994	1994	2012	2012	2012
Lukas LAMBREGT	BEL	M	3 Aug 1994	1994	2013,2012	2012	2013
Maxime OLBREGTS	BEL	M	31 Aug 1994	1994	2012	2012	2012
Augustin RIGOLET	BEL	M	18 Apr 1995	1995	2012	2012	2012
Malin QVICK	BEL	M	25 Mar 1994	1994	2012	2012	2012
Maxim SERLEZ	BEL	M	21 Feb 1994	1994	2015,2013,2012	2012	2015
Sebastian ROMO FIGUEROA	CHI	M	16 Jun 1996	1996	2014,2014,2012	2012	2014
Luciano GRECO VELASQUEZ	CHI	M	3 Jun 1995	1995	2017,2016,2013,2012	2012	2017
Sebastian LEIVA JARAMILLO	CHI	M	16 Sep 1994	1994	2012	2012	2012
Despoina EMMANOUILIDOY	GRE	W	16 Mar 1994	1994	2012	2012	2012
Athina-Maria ANGELOPOULOU	GRE	W	5 Feb 1996	1996	2018,2018,2018,2014,2014,2013,2013,2012	2012	2018
Xanthi KOLTSIDA	GRE	W	20 Nov 1995	1995	2013,2012	2012	2013
Vasiliki ZYGOURA	GRE	W	31 May 1995	1995	2012	2012	2012
Michail KOUSKOURIDAS	GRE	M	24 Jan 1995	1995	2013,2012	2012	2013
Nkolaos KOSTAS	GRE	M	28 Mar 1994	1994	2012	2012	2012
Georgios LADOPOULOS	GRE	M	26 Jun 1995	1995	2012	2012	2012
Konstantinos MAGKLARAS	GRE	M	3 Jan 1994	1994	2013,2012	2012	2013
Dimitrios KARITELIS	GRE	M	26 Nov 1994	1994	2012	2012	2012
Vasileios ANGELOPOULOS	GRE	M	9 Sep 1994	1994	2017,2013,2012	2012	2017
Konstantinos VAGENAS	GRE	M	6 Sep 1995	1995	2013,2012	2012	2013
Enrique MORALES FILIO	MEX	M	8 Jan 1994	1994	2012	2012	2012
Kenia LECHUGA ALANIS	MEX	W	26 Jun 1994	1994	2018,2017,2017,2016,2016,2016,2015,2013,2012	2012	2018
Maite ARRILLAGA GARAY	MEX	W	13 Dec 1996	1996	2017,2017,2014,2013,2012	2012	2017
Chelsea SMITH	USA	W	3 Aug 1988	1988	2012	2012	2012
Oliver KNIGHT	GBR	M	15 Sep 1995	1995	2015,2013,2012	2012	2015
Ivan KOLEV	BUL	M	15 Mar 1996	1996	2017,2016,2015,2015,2014,2012	2012	2017
Yoan OVNAROV	BUL	M	9 Mar 1996	1996	2014,2012	2012	2014
Milcho KALINIKOV	BUL	M	21 Jan 1996	1996	2012	2012	2012
Gal SVEGELJ	SLO	M	17 Mar 1994	1994	2012	2012	2012
Davide GEROSA	ITA	M	11 Aug 1995	1995	2016,2015,2015,2013,2012	2012	2016
Constance MBAMBU	UGA	W	1 Jan 1996	1996	2014,2013,2012	2012	2014
Andrii CHERKASHYN	UKR	M	17 Dec 1994	1994	2016,2015,2015,2014,2012	2012	2016
Rostyslav DZYHYREI	UKR	M	10 Feb 1995	1995	2015,2015,2014,2012	2012	2015
Natalia KOSHELIUK	UKR	W	31 Mar 1994	1994	2012	2012	2012
Anastasiia UNIEHOVA	UKR	W	15 Jun 1994	1994	2012	2012	2012
Alisa SOBKO	UKR	W	18 Jun 1994	1994	2016,2015,2015,2014,2012	2012	2016
Olha ZLYVKA	UKR	W	5 Apr 1994	1994	2012	2012	2012
Vladyslav GAVRYLYUK	UKR	M	7 Jul 1994	1994	2012	2012	2012
Heorhii VERTELETSKYI	UKR	M	22 Apr 1994	1994	2018,2016,2016,2015,2014,2013,2012	2012	2018
Dmytro HUBANOV	UKR	M	23 Feb 1995	1995	2015,2014,2013,2012	2012	2015
Arkhyp KOSHEL	UKR	M	4 Oct 1994	1994	None	None	None
Vadim MUSURIN	UKR	M	29 Apr 1994	1994	2012	2012	2012
Stanislav KOZODOI	UKR	M	11 Apr 1996	1996	2018,2017,2016,2015,2014,2013,2012	2012	2018
Vitalii BABCHENKO	UKR	M	24 Mar 1994	1994	2012	2012	2012
Oleg TARASUK	UKR	M	12 Jan 1995	1995	2015,2013,2012	2012	2015
Vitaliy SOTNIKOV	UKR	M	24 Jul 1995	1995	2013,2012	2012	2013
Anastasiia HORODILOVA	UKR	W	20 Oct 1996	1996	2012	2012	2012
Diana SEREBRIANSKA	UKR	W	29 Oct 1994	1994	2017,2016,2016,2016,2015,2013,2012	2012	2017
Anatolii SEREBRIANSKYI	UKR	M	29 Oct 1994	1994	2012	2012	2012
Denys BORYSENKO	UKR	M	29 Sep 1994	1994	2012	2012	2012
Andriy KHMARA	UKR	M	10 Nov 1994	1994	2012	2012	2012
Mariia PODYMA	UKR	W	26 Feb 1994	1994	None	None	None
Anna YEFIMCHUK	UKR	W	5 Oct 1994	1994	None	None	None
Alina NESTERENKO	UKR	W	4 Feb 1996	1996	2016,2015,2014,2013,2012	2012	2016
Kateryna DUDCHENKO	UKR	W	14 Oct 1996	1996	2018,2017,2016,2016,2015,2014,2013,2012	2012	2018
Anastasiya VAKULOVYCH	UKR	W	20 Jun 1995	1995	2013,2012	2012	2013
Olga PIDLISNA	UKR	W	18 Jan 1996	1996	2012	2012	2012
Oleksii MAKSYMENKO	UKR	M	27 Mar 1996	1996	2013	2013	2013
Valentyn KOVTUN	UKR	M	14 Feb 1996	1996	2015,2014,2013	2013	2015
Oleksii SHCHOTKIN	UKR	M	23 May 1995	1995	2013	2013	2013
Vladyslav BOGOIAVLENSKYI	UKR	M	28 Jan 1995	1995	2018,2017,2017,2017,2016,2016,2015,2013	2013	2018
Mykita PARKHOMENKO	UKR	M	7 Aug 1995	1995	2015,2013	2013	2015
Serhii KULBEDA	UKR	M	14 Mar 1994	1994	2015,2014	2014	2015
Oleksandr OTYAN	UKR	M	27 Jan 1996	1996	2015,2013	2013	2015
Oleksandr VARNYAGA	UKR	M	16 Sep 1996	1996	2012	2012	2012
Uros MARINKOVIC	SRB	M	8 Feb 1995	1995	2016,2013,2012	2012	2016
Nemanja UZANOVIC	SRB	M	12 Feb 1995	1995	2012	2012	2012
luka JOSIC	SRB	M	16 Sep 1995	1995	2012	2012	2012
Aleksandar BEDIK	SRB	M	30 Oct 1995	1995	2018,2018,2017,2017,2017,2013,2012	2012	2018
Aleksa STANKOVIC	SRB	M	15 May 1995	1995	2013,2012	2012	2013
Dragisa MILOVANOVIC	SRB	M	13 Oct 1994	1994	2012	2012	2012
Ljubomir GAVRIC	SRB	M	22 Mar 1995	1995	2013,2012	2012	2013
Desislava TODOROVA	BUL	W	13 May 1994	1994	2015,2014,2012	2012	2015
Desislava SHAPILOVA	BUL	W	2 Jan 1997	1997	2012	2012	2012
Vanesa GEORGIEVA	BUL	W	17 Oct 1995	1995	2012	2012	2012
Radostina ZDRAVKOVA	BUL	W	24 Dec 1994	1994	2012	2012	2012
Monika GRIGOROVA	BUL	W	11 Mar 1996	1996	2015,2012	2012	2015
Elizabet KIRILOVA	BUL	W	29 Jul 1997	1997	2015,2012	2012	2015
Nikol KOLEVA	BUL	W	19 Aug 1999	1999	2015,2012	2012	2015
Igor LONCAREVIC	SRB	M	23 Feb 1995	1995	2014,2013,2012	2012	2014
Sharon COHEN	ISR	W	10 Jun 1977	1977	2012	2012	2012
Roman ANDRIANOV	RUS	M	5 Aug 1994	1994	2012	2012	2012
Murray FABER	ZIM	M	27 Jan 1995	1995	2012	2012	2012
Danielle STRUCK	USA	W	29 Jun 1994	1994	None	None	None
Sebastian II MUELLER	GER	M	8 Feb 1995	1995	2012	2012	2012
Fernando RIVAS ISASIS	VEN	M	8 Jul 1994	1994	2012	2012	2012
Samuel LOPEZ	VEN	M	None	None	2012	2012	2012
Marko ARVAI	SRB	M	16 Apr 1998	1998	2012	2012	2012
Oleg SOKOLOV	UKR	M	29 Nov 1994	1994	2012	2012	2012
Gergely SIMON	HUN	M	3 Jul 1991	1991	2012	2012	2012
Charlotte ANDERSSON	SWE	W	6 Aug 1985	1985	2012	2012	2012
Anna Malvina SVENNUNG	SWE	W	24 Oct 1984	1984	2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2012	2012	2017
Cheng HUANG	CHN	M	12 Jan 1982	1982	2016,2015,2012	2012	2016
Thomas WICHELHAUS	GER	M	15 Jun 1991	1991	2012	2012	2012
Thomas ELHOLM	NOR	M	19 Nov 1984	1984	2012	2012	2012
Lance TREDELL	GBR	M	25 Oct 1988	1988	2017,2017,2017,2017,2017,2013,2013,2013,2012	2012	2017
Matt GOTREL	GBR	M	1 Mar 1989	1989	2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2012	2012	2016
Sverri NIELSEN	DEN	M	14 Oct 1993	1993	2018,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2014,2013,2012	2012	2018
Konstantinos PAPADIANS	GRE	M	5 Oct 1995	1995	None	None	None
Peter ROBINSON	GBR	M	1 Oct 1985	1985	2012	2012	2012
Janneke VAN DER MEULEN	NED	W	4 Nov 1986	1986	2014,2014,2014,2013,2013,2012	2012	2014
Ksenia VOLKOVA	RUS	W	1 Apr 1991	1991	2016,2016,2016,2015,2015,2014,2014,2013,2013,2012	2012	2016
Stanislav KOVALOV	UKR	M	20 Aug 1991	1991	2018,2018,2018,2017,2017,2016,2016,2016,2015,2014,2014,2013,2013,2012	2012	2018
Larysa ZHALINSKA	UKR	W	4 Aug 1988	1988	2018,2016,2012	2012	2018
Sergey HARUTYUNYANTS	ARM	M	19 May 1992	1992	None	None	None
LInh NGUYEN VAN	VIE	M	24 Jul 1989	1989	2015,2014,2013	2013	2015
An TRAN	VIE	W	5 Mar 1993	1993	2014,2013,2013	2013	2014
Tuan DANG	VIE	M	3 Mar 1993	1993	2013	2013	2013
An LE	VIE	W	5 Feb 1990	1990	2014,2013	2013	2014
Son NGUYEN VAN	VIE	M	24 Jan 1989	1989	2013	2013	2013
Shuang ZHAO	CHN	M	2 Aug 1988	1988	2013	2013	2013
Weiwei LU	CHN	W	26 Jan 1990	1990	2013	2013	2013
Huanlei XIAO	CHN	W	27 Dec 1990	1990	2013	2013	2013
Meng LI	CHN	W	8 Nov 1992	1992	2013	2013	2013
Wei DONG	CHN	W	26 Sep 1993	1993	2013	2013	2013
Jie WANG	CHN	W	9 Jun 1992	1992	2018,2018,2017,2016,2016,2015,2015,2014,2013	2013	2018
Jun WANG	CHN	M	18 Feb 1987	1987	2013	2013	2013
Ying XU	CHN	W	11 Jul 1993	1993	2013	2013	2013
Hong YAO	CHN	W	4 Jun 1989	1989	2013	2013	2013
Li ZHANG	CHN	W	1 Oct 1988	1988	2013	2013	2013
Yanhong ZHANG	CHN	W	24 Feb 1992	1992	2017,2013	2013	2017
Li ZHAO	CHN	W	26 Apr 1989	1989	2017,2016,2015,2015,2014,2014,2013	2013	2017
Yan ZHAO	CHN	W	2 Jan 1989	1989	2017,2013	2013	2017
Chang ZHENG	CHN	W	13 Apr 1987	1987	2013	2013	2013
Ye ZONG	CHN	W	19 Nov 1989	1989	2013	2013	2013
Wei JIN	CHN	M	26 Feb 1987	1987	2017,2016,2016,2016,2015,2015,2015,2013	2013	2017
Dan LI	CHN	W	15 Feb 1988	1988	2013	2013	2013
Xia LIANG	CHN	W	21 Feb 1980	1980	None	None	None
Yang LU	CHN	W	26 Nov 1993	1993	2013	2013	2013
Xiaoxing SHEN	CHN	W	8 Oct 1992	1992	2016,2016,2015,2015,2015,2014,2014,2013	2013	2016
Binyan WANG	CHN	W	12 Oct 1989	1989	2013	2013	2013
Fei WANG	CHN	W	12 Jul 1988	1988	2018,2018,2018,2018,2017,2017,2013	2013	2018
Kristin BAUDER	CAN	W	10 Aug 1989	1989	2017,2016,2014,2014,2014	2014	2017
Teresa BERKHOLTZ	CAN	W	18 Jul 1982	1982	2014	2014	2014
Alyssa WENINGER	CAN	W	31 Mar 1986	1986	2013	2013	2013
Vladimir VORONOV	RUS	M	3 Sep 1991	1991	None	None	None
Elena SENIUKOVA	RUS	W	23 Jun 1992	1992	None	None	None
Anton KURANOV	RUS	M	24 Jan 1994	1994	2018,2018,2017,2017,2017,2016,2015,2015,2014,2014,2013	2013	2018
Konstantin BELIAEV	RUS	M	19 Apr 1989	1989	None	None	None
Mikhail BUCHNEV	RUS	M	4 Oct 1991	1991	2013	2013	2013
Brandon SHALD	USA	M	5 Aug 1983	1983	2013	2013	2013
Andrew PEEBLES	ZIM	M	9 Jan 1989	1989	2016,2014,2013	2013	2016
Isaac GRAINGER	NZL	M	26 May 1992	1992	2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013	2013	2018
Brook ROBERTSON	NZL	M	19 Feb 1994	1994	2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013	2013	2018
Laura CAMPBELL	NZL	W	1 Feb 1994	1994	2013,2013,2013	2013	2013
Kerri GOWLER	NZL	W	18 Dec 1993	1993	2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013	2013	2018
Erin-Monique O BRIEN	NZL	W	17 Dec 1986	1986	2015,2015,2015,2014,2014,2014,2013,2013,2013	2013	2015
Ihram IHRAM	INA	M	27 Aug 1988	1988	2017,2016,2015,2015,2014,2013,2013,2013	2013	2017
Muhad YAKIN	INA	M	22 Mar 1988	1988	2017,2015,2015,2014,2013,2013	2013	2017
Maryam DAIMOI	INA	W	20 Aug 1989	1989	2015,2014,2013,2013,2013	2013	2015
Yuniarti YUNIARTI	INA	W	25 Dec 1991	1991	2013	2013	2013
Christopher CUNNINGHAM-REID	AUS	M	24 Dec 1991	1991	2015,2014,2014,2014,2013,2013	2013	2015
Jack HARGREAVES	AUS	M	24 Jul 1993	1993	2018,2018,2018,2017,2017,2017,2015,2015,2015,2015,2014,2014,2013,2013	2013	2018
Redmond MATTHEWS	AUS	M	31 Jan 1992	1992	2017,2017,2013	2013	2017
Genevieve HORTON	AUS	W	6 Jan 1995	1995	2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2013,2013,2013	2013	2018
Hamish PARRY	AUS	M	3 Mar 1994	1994	2018,2018,2018,2017,2017,2017,2015,2014,2013,2013	2013	2018
Harrison CASEY	AUS	M	4 Nov 1992	1992	2013	2013	2013
Sarah POUND	AUS	W	13 Oct 1991	1991	2018,2018,2016,2015,2014,2014,2013,2013	2013	2018
Jordan HOOPER	AUS	M	10 Dec 1991	1991	2013,2013	2013	2013
Charlotte SUTHERLAND	AUS	W	26 Jun 1991	1991	2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2013	2013	2016
Jennifer CLEARY	AUS	W	22 Jun 1993	1993	2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013	2013	2016
Georgia NESBITT	AUS	W	8 May 1992	1992	2018,2018,2017,2017,2017,2016,2016,2015,2014,2014,2014,2013,2013,2013	2013	2018
Alan SINCLAIR	GBR	M	16 Oct 1985	1985	2018,2018,2018,2018,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013	2013	2018
Harrison WESTBROOK	AUS	M	11 Apr 1991	1991	2013,2013	2013	2013
John BOAFO	GHA	M	6 Nov 1985	1985	2013	2013	2013
Kamil SHANUNU	GHA	M	28 Jan 1990	1990	None	None	None
John ADAMS	GHA	M	6 Jan 1985	1985	None	None	None
Simon NOLA	AUS	M	6 Jun 1984	1984	2013,2013	2013	2013
Joel NAUKKARINEN	FIN	M	30 Mar 1993	1993	2018,2018,2017,2017,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014	2014	2018
Antti KILPELAEINEN	FIN	M	13 Mar 1993	1993	2016,2016,2016,2015,2015,2015,2015,2014,2014,2014	2014	2016
Jukka-Pekka KAUPPI	FIN	M	14 Jan 1981	1981	None	None	None
Arnau-Antonio SEGARRA	ESP	M	3 May 1995	1995	None	None	None
Rocio LAO SANCHEZ	ESP	W	18 Aug 1996	1996	2018,2018,2017,2014	2014	2018
Andres ALVAREZ-OSSORIO	ESP	M	18 Jul 1996	1996	None	None	None
Jaime RUS ALBA	ESP	M	3 Jul 1996	1996	2017,2016,2014	2014	2017
Santiago PEREZ BLASCO	ESP	M	13 Jan 1995	1995	None	None	None
Maria GONZALEZ	ESP	W	9 Aug 1995	1995	None	None	None
Maria GALVAN	ESP	W	19 Feb 1995	1995	None	None	None
Ramon GOMEZ COTILLA	ESP	M	15 Jan 1996	1996	2016,2016,2015,2014,2013	2013	2016
